service_date,date,bus,rail_boardings,total_rides
07/04/2002,2002-07-04,441126,279204,720330
07/05/2002,2002-07-05,807831,500685,1308516
07/06/2002,2002-07-06,597877,324834,922711
07/07/2002,2002-07-07,445916,256321,702237
07/08/2002,2002-07-08,929870,575055,1504925
07/09/2002,2002-07-09,919623,579348,1498971
07/10/2002,2002-07-10,941513,591208,1532721
07/11/2002,2002-07-11,969657,594276,1563933
07/12/2002,2002-07-12,963191,618865,1582056
07/13/2002,2002-07-13,624850,324416,949266
07/14/2002,2002-07-14,433166,239865,673031
07/15/2002,2002-07-15,949705,608087,1557792
07/16/2002,2002-07-16,946077,621832,1567909
07/17/2002,2002-07-17,931752,595378,1527130
07/18/2002,2002-07-18,942643,596288,1538931
07/19/2002,2002-07-19,960153,612971,1573124
07/20/2002,2002-07-20,635657,339113,974770
07/21/2002,2002-07-21,412477,229156,641633
07/22/2002,2002-07-22,900537,595784,1496321
07/23/2002,2002-07-23,955084,623156,1578240
07/24/2002,2002-07-24,945502,617518,1563020
07/25/2002,2002-07-25,931679,608190,1539869
07/26/2002,2002-07-26,942389,590601,1532990
07/27/2002,2002-07-27,595484,327980,923464
07/28/2002,2002-07-28,414913,215040,629953
07/29/2002,2002-07-29,893147,565324,1458471
07/30/2002,2002-07-30,934322,614162,1548484
07/31/2002,2002-07-31,912632,603775,1516407
08/01/2002,2002-08-01,969159,607964,1577123
